Name,ConversationIdentifier,ExtractedAccuracyScore,IsPrimaryExtensionArtifactPhase2,CalculatedStatus,ExpTransformerIsSyntaxFree
TA10838-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10001-2024-08-08-10838-Describe this in Natural -Trial-,10001,5.000,,FREE-Locked,1 checked out of 1
TA11497-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10001-2024-08-08-11497-Describe this in Natural -Trial-,10001,4.000,,FREE-Locked,1 checked out of 1
TA14412-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10001-2024-08-08-14412-Describe this in Natural -Trial-,10001,5.000,,FREE-Locked,1 checked out of 1
TA14445-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10001-2024-08-08-14445-Describe this in Natural -Trial-,10001,4.000,,FREE-Locked,1 checked out of 1
TA11444-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10007-2024-08-08-11444-Describe this in Natural -Trial-,10007,4.000,,FREE-Locked,1 checked out of 1
TA10853-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10007-2024-08-08-10853-Describe this in Natural -Trial-,10007,5.000,,FREE-Locked,1 checked out of 1
TA11505-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10007-2024-08-08-11505-Describe this in Natural -Trial-,10007,4.000,,FREE-Locked,1 checked out of 1
TA14410-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10007-2024-08-08-14410-Describe this in Natural -Trial-,10007,5.000,,FREE-Locked,1 checked out of 1
TA10815-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10893-2024-08-08-10815-Describe this in Natural -Trial-,10893,5.000,,FREE-Locked,1 checked out of 1
TA10819-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10893-2024-08-08-10819-Describe this in Natural -Trial-,10893,5.000,,FREE-Locked,1 checked out of 1
TA10821-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10893-2024-08-08-10821-Describe this in Natural -Trial-,10893,5.000,,FREE-Locked,1 checked out of 1
TA14421-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10893-2024-08-08-14421-Describe this in Natural -Trial-,10893,5.000,,FREE-Locked,1 checked out of 1
